질문번호,질문내용,생성된쿼리,평균유사도
11,"만약 대만이 침공당할 경우, 글로벌 반도체 공급망은 어떻게 될까?","1. 2025-대만 침공 반도체 공급망 영향, 2. 최근 대만 반도체 공급망 변화, 3. 현재 대만의 지정학적 리스크와 반도체, 4. 요즘 대만이 침공당할 경우의 글로벌 반도체 시장 전망",0.541964810533255
12,왜 일본은 30년 넘게 디플레이션에서 벗어나지 못하고 있을까?,"1. 2025-일본 디플레이션 원인 분석, 2. 최근 일본 경제 정책 변화, 3. 현재 일본의 디플레이션 해결 방안, 4. 요즘 일본 경제의 구조적 문제",0.5314657147841008
13,공매도 금지가 주가에 미치는 실제 효과는 어떤 원리로 작동하나?,"""2025-공매도 금지 주가 효과"", ""최근 공매도 금지의 주식 시장 영향"", ""현재 공매도 금지가 주가에 미치는 원리"", ""요즘 공매도 금지가 주식 시장에 주는 영향""",0.566048046497619
14,"미국과 중국의 경쟁으로 반도체 공급망이 바뀌고 있는데, 우리나라의 작은 반도체 장비나 소재 회사들에게는 오히려 기회가 될까?","""2025-미중 반도체 경쟁 공급망 변화 한국 기회"", ""현재 반도체 장비 소재 회사 기회"", ""최근 한국 반도체 장비 업체 성장 가능성"", ""2023년 반도체 공급망 변화와 한국 기업 기회""",0.5125100890711854
15,"요즘 기업들이 배당금을 늘리고 있는데, 이런 움직임이 계속되면 우리나라 주식이 저평가받는 문제가 해결될까?","""2025-배당금 증가 한국 주식 저평가 해결"", ""2025-기업 배당 확대 주식 시장 영향"", ""최근 배당금 증가 한국 주식 시장 전망"", ""현재 배당 정책 변화가 주식 평가에 미치는 영향""",0.5698820262080679
16,"한국의 인구 감소와 고령화가 심각해지고 있는데, 이게 장기적으로 국민연금 고갈이나 내수 시장 침체로 이어질까?","1. 2025-한국 인구 감소 고령화 국민연금 고갈, 2. 2025-한국 인구 감소와 내수 시장 침체, 3. 최근 한국 인구 감소와 고령화 영향, 4. 현재 한국 인구 감소 및 고령화와 경제 전망",0.5968215219547194
17,"인공지능(AI) 기술 확산으로 데이터센터 전력 소비량이 급증하는데, 이게 한국전력 같은 전력 회사나 원자력 발전에 새로운 기회가 될까?","1. 2025-AI 기술 확산과 데이터센터 전력 소비 증가, 2. 최근 전력 수요 증가와 한국전력 기회 분석, 3. 현재 데이터센터 전력 소비와 원자력 발전 연계 가능성, 4. 요즘 AI 확산과 전력 산업의 새로운 비즈니스 모델 탐색",0.6511957804436589
18,"중국이 전기차 배터리의 핵심 원료인 희토류 수출을 통제하면, 현대차나 기아는 큰 타격을 입게 될까?","1. 2025-중국 희토류 수출 통제 영향 현대차 기아, 2. 최근 중국 희토류 수출 정책 변화 자동차 산업, 3. 현재 희토류 공급망 문제 현대 기아 전기차, 4. 요즘 중국 희토류 수출 제한 현대 기아 대응 전략",0.6432855678899377
19,현재 한국 부동산 시장에서 금리 인상이 아파트 가격과 전세 시장에 미치는 영향을 분석해줘.,"1. 2025-금리 인상 한국 부동산 시장 분석, 2. 현재 금리 인상이 아파트 가격에 미치는 영향, 3. 요즘 한국 전세 시장 변화와 금리 연관성, 4. 2025-한국 부동산 금리 정책 효과 검토",0.617129015791583
20,삼성전자의 HBM 메모리 사업이 AI 반도체 시장에서 차지하는 위치와 경쟁사 대비 기술적 우위는?,"1. 2025-삼성전자가 HBM 메모리 시장에서 차지하는 위치, 2. 2025-AI 반도체 시장에서 삼성전자의 HBM 기술 우위, 3. 최근 삼성전자 HBM 메모리 경쟁사 분석, 4. 현재 AI 반도체 시장에서의 HBM 기술 비교",0.7111181042218315
