질문번호,질문내용,생성된쿼리,평균유사도
11,"만약 대만이 침공당할 경우, 글로벌 반도체 공급망은 어떻게 될까?","대만 침공 시나리오 글로벌 반도체 공급망 영향 분석 2025, 대만 반도체 산업 현황 및 글로벌 의존도 최근 동향, 대만 침공 시 주요 반도체 기업 생산 차질 예상 2025, 글로벌 반도체 시장 공급망 재편 가능성 최신 보고서",0.5184114175284499
12,왜 일본은 30년 넘게 디플레이션에서 벗어나지 못하고 있을까?,"일본 30년 디플레이션 원인 분석 최근 연구, 일본 장기 디플레이션 극복 실패 요인 현재 상황, 일본 중앙은행 통화정책 디플레이션 영향 최신 보고서, 일본 경제 디플레이션 탈출 시도 2025년 평가",0.6034753429142988
13,공매도 금지가 주가에 미치는 실제 효과는 어떤 원리로 작동하나?,"공매도 금지 주가 영향 분석 2025, 공매도 금지 정책 최근 주식시장 반응 2025, 한국 공매도 금지 주가 변동 사례 2025, 공매도 금지와 주가 상관관계 연구 2025",0.570917162547032
14,"미국과 중국의 경쟁으로 반도체 공급망이 바뀌고 있는데, 우리나라의 작은 반도체 장비나 소재 회사들에게는 오히려 기회가 될까?","미국 반도체 공급망 재편 2025 최근 동향, 중국 반도체 산업 규제 2025 영향 분석, 한국 중소 반도체 장비 소재 기업 기회 2025, 반도체 공급망 변화 국내 중소기업 대응 전략 2025",0.5505125331920511
15,"요즘 기업들이 배당금을 늘리고 있는데, 이런 움직임이 계속되면 우리나라 주식이 저평가받는 문제가 해결될까?","1. 2025 최근 기업 배당금 증가 추세 분석, 2. 2025 현재 한국 주식시장 저평가 원인과 해결 방안, 3. 2025 요즘 기업 배당정책 변화와 주가 영향, 4. 2025 한국 기업 배당 확대가 주식시장 평가에 미치는 영향",0.561459050466278
16,"한국의 인구 감소와 고령화가 심각해지고 있는데, 이게 장기적으로 국민연금 고갈이나 내수 시장 침체로 이어질까?","한국 인구 감소 최근 통계 자료, 한국 고령화 추세 2025년 전망 보고서, 국민연금 고갈 예측 연구 2025년, 내수 시장 침체 영향 분석 현재 데이터",0.5949153546730257
17,"인공지능(AI) 기술 확산으로 데이터센터 전력 소비량이 급증하는데, 이게 한국전력 같은 전력 회사나 원자력 발전에 새로운 기회가 될까?","인공지능 데이터센터 전력 소비 증가 최근 동향 분석, AI 기술 확산에 따른 데이터센터 전력 수요 변화 2025, 한국전력 데이터센터 전력 공급 전략 현재 상황, 원자력 발전 AI 데이터센터 전력 공급 가능성 연구 2025",0.6743342047385763
18,"중국이 전기차 배터리의 핵심 원료인 희토류 수출을 통제하면, 현대차나 기아는 큰 타격을 입게 될까?","중국 희토류 수출 통제 현황 2025년, 현대차 기아 전기차 배터리 공급망 분석 2025년, 희토류 대체 원료 개발 현황 최근 동향, 한국 자동차 산업 희토류 의존도 평가 현재 상황",0.622849513684582
19,현재 한국 부동산 시장에서 금리 인상이 아파트 가격과 전세 시장에 미치는 영향을 분석해줘.,"1. 2025년 최근 한국 부동산 시장 금리 인상 아파트 가격 영향 분석, 2. 2025년 현재 금리 인상이 한국 전세 시장에 미치는 효과, 3. 2025년 요즘 한국 부동산 시장 금리 변동 아파트 매매 동향, 4. 2025년 최근 한국 부동산 금리 상승 전세가율 변화 추세",0.4911714093843931
20,삼성전자의 HBM 메모리 사업이 AI 반도체 시장에서 차지하는 위치와 경쟁사 대비 기술적 우위는?,"삼성전자 HBM 메모리 AI 반도체 시장 점유율 2025년 최근 현황, 삼성전자 HBM3E 기술 현재 경쟁력 분석 2025년, 삼성전자 HBM 메모리 경쟁사 SK하이닉스 TSMC 비교 2025년, 삼성전자 HBM 최신 기술 개발 동향 및 시장 전망 2025년",0.6740068339180755
