질문번호,질문내용,생성된쿼리,평균유사도
11,"만약 대만이 침공당할 경우, 글로벌 반도체 공급망은 어떻게 될까?","1. ""Impact of Taiwan invasion on global semiconductor supply chain 2023"", 2. ""Global chip supply chain vulnerabilities with Taiwan conflict scenario"", 3. ""Economic forecast of semiconductor shortage post-Taiwan conflict 2025"", 4. ""Strategic semiconductor market responses to potential Taiwan invasion recent developments""",0.43285514840437256
12,왜 일본은 30년 넘게 디플레이션에서 벗어나지 못하고 있을까?,"1. Japan's prolonged deflation struggle since 1990s reasons 2023, 2. Factors hindering Japan's exit from deflation post-2025, 3. Economic policies impacting Japan's deflation battle recent years, 4. Japan's economic stagnation and deflation links 2025-",0.582435917060505
13,공매도 금지가 주가에 미치는 실제 효과는 어떤 원리로 작동하나?,"1. ""공매도 금지 정책 주가 영향 분석 2023"", 2. ""공매도 제한 최근 주가 반응 연구"", 3. ""2025년 공매도 금지 효과 주식 시장 분석"", 4. ""공매도와 주가 변동성 관계 최신 연구""",0.5834142813870731
14,"미국과 중국의 경쟁으로 반도체 공급망이 바뀌고 있는데, 우리나라의 작은 반도체 장비나 소재 회사들에게는 오히려 기회가 될까?","1. ""2025 한국 반도체 장비 소재 회사 기회 분석"", 2. ""미국 중국 반도체 경쟁 영향 한국 중소기업"", 3. ""최근 반도체 공급망 재편 한국 기업 기회 탐색"", 4. ""2025 반도체 산업 트렌드 한국 중소기업 성장 전략""",0.3870590038044962
15,"요즘 기업들이 배당금을 늘리고 있는데, 이런 움직임이 계속되면 우리나라 주식이 저평가받는 문제가 해결될까?","1. ""2023-최신 기업 배당금 증가 추세와 주식 시장 영향"", 2. ""요즘 한국 주식 시장 저평가 해소 전략: 배당금 정책 변화"", 3. ""2025-배당 정책 강화가 한국 주식 가치 평가에 미치는 영향 분석"", 4. ""기업 배당금 확대와 주가 평가 간 상관관계 최근 연구""",0.531085683440274
16,"한국의 인구 감소와 고령화가 심각해지고 있는데, 이게 장기적으로 국민연금 고갈이나 내수 시장 침체로 이어질까?","1. 한국 인구 감소 및 고령화 영향 분석 2025-, 2. 국민연금 고갈 예측 모델 최근 통계 2025-, 3. 고령화 사회 내수 시장 침체 경향 요즘 연구 2025-, 4. 장기적 인구 동향과 경제 영향 평가 보고서 2025-",0.618982950291934
17,"인공지능(AI) 기술 확산으로 데이터센터 전력 소비량이 급증하는데, 이게 한국전력 같은 전력 회사나 원자력 발전에 새로운 기회가 될까?","1. ""AI 기술 확산에 따른 데이터센터 전력 소비량 증가와 전력 회사 기회 2025-"", 2. ""데이터센터 성장과 원자력 발전의 미래 전망 2025-"", 3. ""한국전력 AI 및 데이터센터 전력 수요 대응 전략 최근 동향"", 4. ""2025년 이후 전력 회사 사업 다각화 전략: AI 기반 데이터센터 전력 공급""",0.6325555032193464
18,"중국이 전기차 배터리의 핵심 원료인 희토류 수출을 통제하면, 현대차나 기아는 큰 타격을 입게 될까?","1. ""중국 희토류 수출 통제 영향 현대차 기아 배터리 공급망 2025-"", 2. ""전기차 배터리 희토류 가격 변동과 현대차 기아 생산 현황 최근"", 3. ""중국 희토류 수출 정책 변화에 따른 글로벌 자동차 산업 영향 2025-"", 4. ""기아 현대차 희토류 의존도 및 대체 공급원 현황 요즘""",0.6694154625910633
19,현재 한국 부동산 시장에서 금리 인상이 아파트 가격과 전세 시장에 미치는 영향을 분석해줘.,"1. 한국 부동산 시장 금리 인상 영향 2023-현재, 2. 아파트 가격 변동 추이 최근 금리 인상 이후 한국, 3. 전세 시장 동향 및 금리 인상 영향 분석 2025-, 4. 금융정책 변화와 한국 아파트 매매/전세 가격 상관관계 최신 보고서",0.4560643099607863
20,삼성전자의 HBM 메모리 사업이 AI 반도체 시장에서 차지하는 위치와 경쟁사 대비 기술적 우위는?,"1. ""삼성전자 HBM 메모리 시장 점유율 2025-AI 반도체"", 2. ""HBM 메모리 기술 비교: 삼성전자 vs 경쟁사 2025-"", 3. ""삼성전자 HBM 기술 우위 분석 AI 반도체 분야"", 4. ""최근 HBM 메모리 트렌드: 삼성전자 전략 2025-""",0.6899262566815731
